,Dominant_Topic,Perc_Contribution,Topic_Keywords,text_pre,text,userid,textID
0,13.0,0.8379999995231628,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",In order to reach the top you must get rid of everyone and everything that holds you down,"['order', 'reach', 'top', 'rid', 'hold']",009d96a823b6f6c085c092fb177491f6,65
1,13.0,0.911300003528595,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","Because I get stoopid, I mean outrageous Stay away from me if you're contagious 'Cause I'm the winner, no, I'm not the loser To be an M.C. is what I choose 'a.... Woooo Rockin and studying school day 3","['stay', 'winner', 'school', 'day', 'mean', 'choos', 'studi', 'stoopid', 'outrag', 'contagi']",009d96a823b6f6c085c092fb177491f6,244
2,13.0,0.805899977684021,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",The trip is never as fun when the destination is back home and away from my sweetheart,"['trip', 'destin', 'sweetheart', 'fun']",009d96a823b6f6c085c092fb177491f6,302
3,1.0,0.4814000129699707,"world_H, resolv_L, defin_H, power_H, thank_H, belong_H, sticki_H, polit_H, judg_H, tat_H",I'm spaced out in a day dream waiting for my train when I notice that down on the track a rat is staring at me... No I'm not looking at you figures NYC  even the rats got a rude temper,"['day', 'dream', 'train', 'notic', 'track', 'rat', 'figur', 'rat', 'temper', 'space', 'wait', 'stare', 'look', 'got', 'rude']",009d96a823b6f6c085c092fb177491f6,308
4,13.0,0.9024999737739563,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",Cause you feel like paradise **bobsnewline** I need a vacation tonight **bobsnewline** So if I said I want your body now **bobsnewline** Would you hold it against me __ is Britney B*tch!,"['vacat', 'tonight', 'bodi', 'b*tch', 'feel', 'need', 'said', 'want', 'hold']",009d96a823b6f6c085c092fb177491f6,330
5,13.0,0.7580000162124634,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",feel like I'm in Narnia and this winter is going to last forever,"['winter', 'feel', 'go']",009d96a823b6f6c085c092fb177491f6,358
6,13.0,0.6786999702453613,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",Margaret Thatcher : /If you want something said,"['want', 'said']",009d96a823b6f6c085c092fb177491f6,366
7,13.0,0.9456999897956848,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","If you begin the day with love in your heart, peace in your nerves, and truth in your mind, you not only benefit by their presence but also bring them to others, to your family and friends, and to all those who's destiny draws across your path that day ~Unknown","['day', 'love', 'heart', 'peac', 'nerv', 'truth', 'mind', 'benefit', 'presenc', 'other', 'famili', 'friend', 'destini', 'path', 'begin', 'bring', 'draw']",009d96a823b6f6c085c092fb177491f6,390
8,14.0,0.6786999702453613,"drop_L, sick_L, surviv_L, rate_L, enough_L, move_L, least_L, timelin_L, get_H, gunpowd_H",Que todo el mundo cabe en el teléfono que no hay distancias grandes para nuestro amor que todo es perfecto cuando te siento tan cerca aunque estes tan lejos.             ~Sin Bandera,"['cerca', 'est']",009d96a823b6f6c085c092fb177491f6,425
9,13.0,0.8379999995231628,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",War is about who's left not who's right.... be strong and never give up,"['war', 'left', 'give', 'right', 'strong']",009d96a823b6f6c085c092fb177491f6,475
10,13.0,0.9388999938964844,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","staying at Matthew's mommy's house tonight, then up early tomorrow to make our 2 day trip to Arkansas to visit his grandparents! Please excuse me while I drop off the face of the internet :)","['mommi', 'hous', 'tonight', 'tomorrow', 'day', 'trip', 'grandpar', 'drop', 'face', 'internet', 'stay', 'make', 'visit', 'excus', 'earli']",011679a3ae49998801ada93d822b7302,782
11,13.0,0.7580000162124634,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",Happy Valentine's Day!! <3 This is by far the best one ever thanks to Matthew and Puffs :D,"['day', 'thank', 'best']",011679a3ae49998801ada93d822b7302,789
12,13.0,0.9024999737739563,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","I'm falling, and I know that I should stop.  But, but flying seems impossible when I've never sprouted wings. An angel I am not, and no angel's  there to save me.","['fli', 'wing', 'fall', 'know', 'stop', 'seem', 'sprout', 'save', 'imposs']",01530624766b3be63c7709c6581c335d,874
13,1.0,0.821399986743927,"world_H, resolv_L, defin_H, power_H, thank_H, belong_H, sticki_H, polit_H, judg_H, tat_H","Drowned all my responsibilities out by playing Ape Escape. I love it! It's been a while, but I'm kicking some serious video game butt. I want to have the option of Monkey Soccer again :3","['respons', 'ape', 'escap', 'video', 'game', 'butt', 'option', 'monkey', 'soccer', 'drown', 'play', 'love', 'kick', 'seriou']",01530624766b3be63c7709c6581c335d,931
14,13.0,0.5220000147819519,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","It's Friday, and it's so beautiful :)",['beauti'],01530624766b3be63c7709c6581c335d,932
15,13.0,0.9348999857902527,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","/Can you hear the sound? Rain is falling down as the thunder cracks. I just can't relax because I know that it will end to be never seen again. I just close my eyes for dreams that will never come./""""","['sound', 'rain', 'thunder', 'crack', 'end', 'eye', 'hear', 'fall', 'can', 'relax', 'know', 'seen', 'dream', 'close']",01530624766b3be63c7709c6581c335d,936
16,13.0,0.805899977684021,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",There are really no words to explain it. I'm just a hopeless cause.,"['word', 'caus', 'explain', 'hopeless']",01530624766b3be63c7709c6581c335d,938
17,13.0,0.6786999702453613,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",I don't think you're ever far from my thoughts...,"['thought', 'think']",01530624766b3be63c7709c6581c335d,946
18,2.0,0.5218999981880188,"middl_L, got_L, eat_L, fuck_L, head_L, time_L, letter_L, thee_L, hahaa_L, written_L",/When you're out in the club,['club'],01530624766b3be63c7709c6581c335d,978
19,13.0,0.9424999952316284,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","Dear people of Facebook, I would really like your opinion on a matter. If you could please spare some time and choose which of these poem titles you like best. Thank you. The titles are: /Behind this Grin/"" /""The Delusional Murder/"" /""It's Snowing/"" /""Buried Alive/"" or /""The Voodoo Doll./"" Your help would be much appreciated. Thank you :)""","['peopl', 'facebook', 'opinion', 'matter', 'time', 'poem', 'titl', 'titl', 'help', 'like', 'spare', 'choos', 'thank', 'appreci', 'thank', 'dear']",01530624766b3be63c7709c6581c335d,985
20,13.0,0.9024999737739563,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H","Life is not a fairytale. There is no such thing as a happy ending. I've seen this, watched you hurt. Why am I here? Why was I born? There is always so much work","['life', 'end', 'hurt', 'work', 'seen', 'watch', 'born', 'happi', 'much']",01530624766b3be63c7709c6581c335d,991
21,13.0,0.8610000014305115,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",I remember last year when it was you and me. I miss that. The time when I thought my love for you would last forever.,"['year', 'love', 'rememb', 'thought', 'last', 'last']",01530624766b3be63c7709c6581c335d,1024
22,13.0,0.7580000162124634,"love_H, life_H, go_H, know_H, day_H, make_H, thing_H, time_H, feel_H, peopl_H",Ok. Here we go. Like this status and I'll tell you what I like about you.,"['statu', 'go', 'tell']",01530624766b3be63c7709c6581c335d,1053
