,text,userid,textID,label,post_id
184,"['day', 'sux', 'head', 'contact', 'contract', 'bet', 'motherfuck', 'day', 'wake', 'fuck', 'know', 'want', 'stay', 'human', 'best']",009d96a823b6f6c085c092fb177491f6,184,2.0,184
203,['gon'],009d96a823b6f6c085c092fb177491f6,203,2.0,203
357,"['time', 'friend', 'age', 'age', 'age', 'walk', 'like', 'act', 'say']",009d96a823b6f6c085c092fb177491f6,357,2.0,357
409,"['tonight', 'shelf', 'enjoy', 'groov', 'music', 'life', 'life', 'got', 'leav', 'let', 'bad', 'live', 'bad']",009d96a823b6f6c085c092fb177491f6,409,2.0,409
410,"['home', 'night', 'morn', 'love', 'complaint', 'bed', 'keep', 'fight', 'let', 'go', 'know', 'want', 'stay', 'make', 'feel', 'count', 'lay', 'warm', 'much', 'comfort', 'warm']",009d96a823b6f6c085c092fb177491f6,410,2.0,410
437,"['hoe', 'hoe', 'area', 'code', '#', 'got', 'got', 'differ']",009d96a823b6f6c085c092fb177491f6,437,2.0,437
461,"['rain', 'fall', 'wake', 'dream', 'saniti', 'thunder', 'rain', 'let', 'let', 'wash', 'feel', 'scream', 'let', 'fall', 'come', 'come', 'clean', 'clean', 'beauti']",009d96a823b6f6c085c092fb177491f6,461,2.0,461
472,"['place', 'matter', 'way', 'love', 'fall', 'fall~', 'let', 'know', 'know', 'alarm', 'find', 'rememb', 'gon', 'follow', 'take', 'lay', 'give', 'alon']",009d96a823b6f6c085c092fb177491f6,472,2.0,472
612,"['hop', 'cover', 'sleep', 'want', 'pretend', 'job', 'need']",011679a3ae49998801ada93d822b7302,612,2.0,612
875,"['eye', 'hand', 'reach', 'touch', 'hold', 'close']",01530624766b3be63c7709c6581c335d,875,2.0,875
901,"['space', 'bleed', 'care', 'say', 'care', 'see', 'insid']",01530624766b3be63c7709c6581c335d,901,2.0,901
902,"['churn', 'burn', 'turn', 'yearn']",01530624766b3be63c7709c6581c335d,902,2.0,902
923,"['eye', 'hate', 'hope', 'dream', 'close']",01530624766b3be63c7709c6581c335d,923,2.0,923
943,"['magnet', 'leav', 'bodi', 'hypnot', 'devil', 'angel', 'touch', 'feel', 'float', 'glow', 'say']",01530624766b3be63c7709c6581c335d,943,2.0,943
947,"['touch', 'push', 'reach']",01530624766b3be63c7709c6581c335d,947,2.0,947
966,"['year', 'caution', 'love', 'rememb', 'told', 'take', 'come']",01530624766b3be63c7709c6581c335d,966,2.0,966
